PATIENT_ID,UBE2T,PTTG1,PGR,MKI67,MIA,MAPT,KRT17,KRT14,KIF2C,ESR1,CCNE1,CENPF,CEP55,FGFR4,MMP11,SFRP1,TMEM45B,TYMS,ERBB2,BCL2,CCNB1,CDC20,NAT1,RRM2,UBE2C,ACTR3B,ANLN,BAG1,BIRC5,BLVRA,CDC6,CDH3,CXXC5,EGFR,EXO1,FOXA1,FOXC1,GPR160,GRB7,KRT5,MDM2,MELK,MLPH,MYBL2,MYC,PHGDH,SLC39A6,NUF2,ORC6,NDC80
TCGA-3C-AAAU,318.4648,383.6053,2273.2731,2582.8732,5.8006,7988.1575,0.6893,0,656.2304,3457.962,163.3683,1824.9685,319.8434,67.8978,11505.4008,473.2166,2.4126,493.1137,7113.4134,2315.7626,1282.8201,603.1529,8014.6963,1477.2077,555.59,359.8238,828.2151,1890.5708,390.7983,850.618,488.0369,129.5917,1855.2984,53.0775,198.5235,5448.3667,19.6456,1347.616,807.8803,1.3786,14938.2027,264.3533,6067.0292,749.9776,2223.7387,741.3611,90765.9008,295.028,206.106,353.9646
TCGA-3C-AALI,1004.3502,553.0179,27.1887,2285.4812,8.4611,190.3208,616.0957,312.6699,830.8864,68.5155,227.8412,2230.5601,572.5938,2193.5835,9584.5568,101.6857,799.3475,719.3203,194624.7961,264.8178,1877.6509,648.7221,571.5063,3219.1408,1351.2779,144.6438,1566.0685,728.0261,859.4943,1873.3007,553.0179,812.9418,982.5992,73.9532,493.2028,6049.4834,52.2023,3778.1403,26621.6259,394.7798,922.2403,487.7651,17575.3127,4292.5503,176.7265,759.652,1699.2931,494.2904,475.2583,293.6378
TCGA-3C-AALJ,757.0263,802.3572,473.835,949.2294,1.9583,2932.0036,7.2529,2.7199,728.0145,7482.3209,178.6038,1598.3681,325.476,33.5449,14854.9411,67.0898,5.4397,667.0172,11070.7162,2538.5313,1822.3028,873.9801,1205.8024,1305.5304,1195.8296,153.2185,637.3527,1869.7189,744.4606,2153.2185,925.6573,329.1024,2165.9112,45.3309,159.5648,4620.1269,159.5648,535.8114,1256.573,2.7199,1794.1976,546.6908,5097.0082,2933.8169,1214.8685,106.981,15816.8631,472.3481,368.087,484.1342
TCGA-3C-AALK,373.1899,311.957,2236.4626,1139.429,158.2499,2402.1514,5433.5954,4697.559,301.6136,2485.3124,44.2698,1614.398,290.8564,163.8395,8525.4448,1236.657,532.4783,724.6918,36022.7555,2172.1142,827.0583,539.0981,1152.6686,909.3918,496.897,135.2917,631.7749,1651.1585,522.019,1327.2652,183.2851,1001.2412,1822.5072,254.0257,120.8109,7352.0894,266.446,662.3914,1992.5528,3429.458,1591.2288,245.7592,10655.3579,503.5168,1405.8751,694.6628,19032.6851,158.8746,64.1291,183.6988
TCGA-4H-AAAK,192.3404,257.8723,4425.1915,1206.383,131.2298,7789.3617,2997.8723,2896.5957,331.4894,5518.2979,56.5957,1109.3617,207.234,781.2766,32954.0426,1531.9149,385.1064,675.7234,12236.5957,1575.3191,647.6596,389.3617,130.6383,384.2553,322.1277,235.3191,359.5745,2154.4979,202.9617,651.0638,399.5745,590.6383,703.4043,164.2511,84.6809,6799.5745,150.2128,744.6809,1039.5745,2734.4681,1226.383,245.5319,6126.8085,481.7021,4137.4468,626.383,3834.8936,122.5532,60.4255,177.8723
TCGA-5L-AAT0,198.8561,137.2635,734.7998,503.8862,116.7444,6458.425,1716.9673,2952.3391,126.1182,6592.1689,50.4473,695.7032,86.2297,59.8328,31196.3631,1762.1352,333.1867,326.1886,9411.9372,2114.6796,381.8742,214.6942,769.6143,315.0022,170.6995,197.0963,114.9729,1504.5608,111.7818,1200.7626,171.2861,753.1896,1210.1481,97.9381,56.8998,6281.2729,177.7387,708.6083,729.1392,2807.4498,1326.8808,102.0678,9147.3823,201.7891,1586.1563,476.3162,2687.7841,58.073,44.5813,90.9224
TCGA-5L-AAT1,171.1491,102.6895,36.6748,194.784,68.4597,1851.6707,1164.6292,2149.1443,60.3097,4309.6985,32.5998,315.4034,46.4548,2004.89,42311.3284,715.5664,1163.8142,269.2665,13189.0791,842.7058,312.9584,349.6333,2510.1874,159.7392,75.7946,158.1092,263.2437,1695.8517,50.057,1266.5037,61.1247,1036.6748,415.6479,52.1597,11.4099,6867.9707,155.6642,1260.7987,1028.5249,2023.6349,1678.0766,89.6496,8296.6585,78.2396,1141.8093,414.0179,4236.3488,53.7897,35.0448,45.6398
TCGA-5T-A9QA,739.5397,212.3431,108.7866,953.9749,10.3452,449.2678,6.2762,2.6151,504.7071,3557.0084,134.9372,1946.6527,606.6946,3701.8828,1192.4686,12.5523,3269.3515,1123.7552,11993.2008,1389.1213,1023.0126,518.3054,886.5063,687.7615,1041.318,273.0126,438.8075,7175.2354,412.568,1423.1172,752.0921,448.2218,542.364,14.1213,350.4184,8191.4226,81.0669,1900.6276,1712.8661,2.6151,1882.3222,329.4979,20887.0293,904.8117,1612.9707,38.1799,16254.7071,525.1046,168.41,259.9372
TCGA-A1-A0SB,102.7143,159.4774,9.4605,1583.5117,2337.2812,1341.5925,11574.7269,9949.3186,229.3051,860.4573,57.2137,988.8501,134.6999,38.7431,243.2706,18383.6018,40.5451,577.1596,6711.5666,2536.7722,409.9561,267.5977,58.1147,341.4799,128.3928,886.5863,499.6058,1087.9423,131.5644,521.6804,234.7111,2504.3361,94.1547,3690.4696,96.4073,535.6459,2276.833,109.4718,453.6547,38415.5873,2412.4338,130.6453,348.6879,392.3865,7752.2243,4744.6785,2906.6336,65.7732,84.2437,91.4517
TCGA-A1-A0SD,131.6682,199.4872,716.7612,1478.7859,95.2775,2173.1867,6636.6719,4230.5847,136.6306,9728.2276,34.7366,1057.977,245.8027,889.9181,7107.4353,1673.9724,303.3661,200.7874,12986.5189,2010.0901,609.7097,176.6603,1832.4374,490.9437,340.0877,184.6001,421.1397,7259.7668,167.2219,1131.7509,158.1341,2253.9079,797.2872,362.5837,70.4656,8118.4352,257.3815,1271.6897,788.0242,6338.9298,2132.8261,182.2843,9514.1841,398.3128,2210.9007,302.0428,79328.7569,116.4503,43.6688,85.3527
